gene	effectSize	effectSizeStandardError	effectSizePval	effectSizeFDR	tauSquared	numStudies	cochranesQ	heterogeneityPval	fisherStatUp	fisherPvalUp	fisherFDRUp	fisherStatDown	fisherPvalDown	fisherFDRDown
CPB2	2.906469026986397	0.8119362406185082	3.440199114738156e-4	0.9997238785431705	0	2	0.18898128436948375	0.6637658414551302	27.407742259076237	1.6440539899448342e-5	0.10795099778789	0.026748547642035422	0.9999113578388779	0.9999854341075632
IL26	-2.77468921245774	0.7892739293736467	4.3893364241513977e-4	0.9997238785431705	0	2	0.011146093890640831	0.915919511134185	0.019584053068742297	0.9999523699274753	0.9999772337619072	26.39925691915986	2.6287614529685234e-5	0.17230216943482188
DKK3	-2.4526571040941594	0.7330938322993071	8.209732435501618e-4	0.9997238785431705	0	2	0.20861312957796185	0.647856597080513	0.048300558323376694	0.9997130348640831	0.9999772337619072	23.82512688741951	8.658684182454922e-5	0.3278865755865533
HLA.DOB	2.2465820515607278	0.7199140022175038	0.001804673310974701	0.9997238785431705	0	2	0.49150657133893916	0.4832560261325507	23.89563624203787	8.381564847489505e-5	0.15696276226534275	0.010814243081675312	0.9999854341075632	0.9999854341075632
MARCH1	2.074560869185984	0.6718746269500337	0.0020169826729879024	0.9997238785431705	0	2	0.1306372426632102	0.7177722368051718	20.535089786679315	3.914634391658828e-4	0.3306410519230673	0.07216415430416495	0.9993644906190252	0.9999854341075632
TPM3	2.048309679897605	0.6677765238790749	0.002159600223645987	0.9997238785431705	0	2	0.17838213635411396	0.672767309339894	20.32403463861815	4.3095770052394374e-4	0.3306410519230673	0.08109960211714771	0.9991997476428158	0.9999854341075632
LRTOMT	2.1137150572430623	0.6892892790957864	0.0021657084182047253	0.9997238785431705	0	2	0.16959703971570955	0.6804701797579258	21.71150264777026	2.2873687551386507e-4	0.2523645565796627	0.02200496791517785	0.9999399148142585	0.9999854341075632
AK094611	1.9479449676934728	0.6583345302951458	0.0030874090453541676	0.9997238785431705	0	2	0.03000888510000268	0.8624700713569048	19.71902553323367	5.673856549019658e-4	0.3306410519230673	0.04196727870675615	0.9997828991308791	0.9999854341075632
PLD6	1.906357052655635	0.6486053992550871	0.0032909984566745266	0.9997238785431705	0	2	0.0024196775431365525	0.9607677067664923	19.088650883003222	7.550416843886948e-4	0.3306410519230673	0.06146629894420523	0.9995373022447182	0.9999854341075632
TGIF1	-1.8976389775435683	0.6474211720208619	0.0033779295549070743	0.9997238785431705	0	2	0.6493786672076631	0.4203349098370017	0.1593279815644729	0.996990420192419	0.9997358998166007	19.34456485170955	6.724165974507083e-4	0.4998054573754149
SNURF.SNRPN	-2.0278125403600793	0.6930090027911632	0.0034324234208431316	0.9997238785431705	0	2	0.7715617820039221	0.37973433580465055	0.01352600048981772	0.9999772337619072	0.9999772337619072	22.789813941162194	1.3947554028698728e-4	0.3278865755865533
KIAA1467	1.876105252164167	0.6453689249069541	0.0036488104681336613	0.9997238785431705	0	2	0.0015288437506601703	0.9688103168733361	18.889240046348924	8.263162341488776e-4	0.3306410519230673	0.05725128720673272	0.9995980218479599	0.9999854341075632
PTPN18	1.8498795030957582	0.6382621749745832	0.003751835670071386	0.9997238785431705	0	2	0.31210894990313226	0.5763889236850486	18.609264210986098	9.377392877973311e-4	0.3306410519230673	0.1292133080099437	0.998000739161178	0.9999854341075632
IGHD	1.8752742589630746	0.6470904329473598	0.00375539146014672	0.9997238785431705	0	2	0.021756256575724928	0.8827373621366075	19.01495872728269	7.806434521428733e-4	0.3306410519230673	0.049371355998888304	0.9997002768781347	0.9999854341075632
CBWD6	-1.8715008826432353	0.6466797447330254	0.0038034998946342834	0.9997238785431705	0	2	0.02401911096274221	0.8768362945859787	0.049189220279539286	0.9997024661882409	0.9999772337619072	18.991025856954337	7.891413496414312e-4	0.4998054573754149
FLJ00382	1.8507720878192655	0.6422841124137271	0.003957277602912917	0.9997238785431705	0	2	0.0060427365050357085	0.9380388202249231	18.698520842748742	9.006936573707336e-4	0.3306410519230673	0.05670451134815211	0.9996055916249623	0.9999854341075632
CCBL2	-1.9790365282544888	0.6879408329108502	0.004017887151500123	0.9997238785431705	0	2	0.8645435246612068	0.3524703342404305	0.014389688273337482	0.9999742409235156	0.9999772337619072	22.630436210962863	1.500739532778488e-4	0.3278865755865533
TAGLN	1.8309461663174906	0.6368186705363194	0.004038416902505518	0.9997238785431705	0	2	0.013675827463095088	0.9069046732228575	18.3549190295384	0.0010517665590889624	0.3306410519230673	0.07621134423542907	0.9992921616617993	0.9999854341075632
MAPK3	1.8319575427370662	0.6411572797246233	0.004273062158999082	0.9997238785431705	0	2	0.027854046621097923	0.8674524184713279	18.64316408301032	9.234951643077752e-4	0.3306410519230673	0.05192434386032782	0.999668759547177	0.9999854341075632
ANP32D	1.7992548334914464	0.6348408108445636	0.004594305963954448	0.9997238785431705	0	2	0.005957405861723582	0.9384769842740825	18.220858664031173	0.0011172758493755487	0.3306410519230673	0.062086033332732646	0.9995280221604136	0.9999854341075632
CYHR1	1.7577008522246926	0.6247938370318276	0.004904360529602783	0.9997238785431705	0	2	0.247128479431656	0.6191043004846439	17.70684888861051	0.001407971320776498	0.3306410519230673	0.13864134785578566	0.9977055250831017	0.9999854341075632
LOC654433	1.7596218456152197	0.6257704320344828	0.004924541610860119	0.9997238785431705	0	2	0.4244679217140753	0.5147160157299053	17.855865432971303	0.001316760868298645	0.3306410519230673	0.16564046750994163	0.9967540109907868	0.9999854341075632
CXCL12	1.797803022238042	0.643277510922448	0.005193906515259383	0.9997238785431705	0	2	0.20840872970483793	0.6480174943660899	18.930760101072266	8.109473879963896e-4	0.3306410519230673	0.03799823847526079	0.9998217865445774	0.9999854341075632
TENM4	1.7509152370254082	0.6276044799563096	0.005273431413472139	0.9997238785431705	0	2	0.002960374478795053	0.9566090508170381	17.745020771950436	0.0013840293438793679	0.3306410519230673	0.06970030307259995	0.9994066596709189	0.9999854341075632
LINC00669	-1.7563118203965582	0.6310386501021413	0.0053824287259112945	0.9997238785431705	0	2	0.04072348659214351	0.8400726038825194	0.056978377206393364	0.9996018089413274	0.9999772337619072	17.99215728845494	0.0012384610439901624	0.6474781723875523
PRDM16	1.7256934200214844	0.620316644858772	0.005403241656171841	0.9997238785431705	0	2	0.12826247545484915	0.7202404099680626	17.34687615900961	0.0016548344714060561	0.3306410519230673	0.12324234006701014	0.9981776379545041	0.9999854341075632
TUBGCP2	1.7537838169020628	0.635042573039312	0.005750496310384205	0.9997238785431705	0	2	0.14919205439900046	0.6993086586950621	18.335481889647184	0.0010610239052290895	0.3306410519230673	0.045370709301215915	0.9997465459225413	0.9999854341075632
CENPT	-1.7259656805443333	0.6268950048877857	0.0059016304546088885	0.9997238785431705	0	2	0.043200182343026215	0.8353487958473533	0.05988346841986284	0.999560594270307	0.9999772337619072	17.716867188542544	0.0014016484048489514	0.6474781723875523
SLC17A6	-1.7044338162373904	0.6200946083244937	0.005983807635460973	0.9997238785431705	0	2	2.0829045118422407e-4	0.9884851133960254	0.08273535087246663	0.9991675929444892	0.9999772337619072	17.24456968108892	0.0017324770137662287	0.6474781723875523
DGKI	-1.7128994227370447	0.6235651192478827	0.006015312209004721	0.9997238785431705	0	2	0.01702647435187333	0.8961822991870837	0.06770813660952336	0.9994397216682663	0.9999772337619072	17.479618328240953	0.0015591918455719004	0.6474781723875523
SYNE2	-1.7104186264262133	0.6230322251667644	0.006045316228115222	0.9997238785431705	0	2	0.014419169952050127	0.9044198956505733	0.06892689006503364	0.9994196051612643	0.9999772337619072	17.44263028327203	0.0015852800022582965	0.6474781723875523
OXR1	-1.6852978546192976	0.6146387885733838	0.00610789569542114	0.9997238785431705	0	2	0.15125814372060936	0.6973359189829976	0.1367001488872771	0.997767892309766	0.9999772337619072	16.975827203658135	0.0019539645541747225	0.6474781723875523
BRD7	-1.7915760316955542	0.6553311401213298	0.00625988462059789	0.9997238785431705	0	2	0.6712726818128207	0.4126082438688897	0.0259312289350192	0.9999166694379542	0.9999772337619072	20.23717233447388	4.483358103210785e-4	0.4737243636284561
ANKRD36B	-1.7006181484276985	0.6225252338292186	0.0062988224572556074	0.9997238785431705	0	2	0.02758308381557293	0.8680927673954935	0.06623621645254882	0.9994635544796403	0.9999772337619072	17.413606524439743	0.0016060520483212695	0.6474781723875523
CPNE6	1.6727861970697189	0.6131997359505683	0.006372675375552159	0.9997238785431705	0	2	0.0872281138873074	0.7677310616534803	16.840962063022488	0.002075413476617592	0.3306410519230673	0.12444219959281642	0.9981427201358837	0.9999854341075632
MAN2C1	1.6707606786051694	0.6130366971948689	0.006422665417140487	0.9997238785431705	0	2	0.07389769166240148	0.7857440487739782	16.821585637046212	0.002093463064277564	0.3306410519230673	0.1212912900787749	0.9982337384319119	0.9999854341075632
DCAF8	1.9032519427630743	0.699478922918487	0.006509326443877717	0.9997238785431705	0.11753212017233126	2	1.1329086162014268	0.28715577515130175	20.02837406513458	4.92999272035968e-4	0.3306410519230673	0.20229552551664678	0.9952167700053163	0.9999854341075632
DUSP13	1.6757093960617009	0.6165954456126159	0.006574129366759267	0.9997238785431705	0	2	3.6530125892351545e-4	0.9847510758148494	17.003710474410145	0.001929743532639625	0.3306410519230673	0.08346790612047164	0.9991529932246036	0.9999854341075632
ANKMY2	-1.6799661792138048	0.6183275537286834	0.006588619588426066	0.9997238785431705	0	2	0.008465814428433534	0.9266902052842577	0.0755606845661519	0.9993040460574841	0.9999772337619072	17.120938193812076	0.0018311111651371195	0.6474781723875523
MAP3K12	1.6628306195530804	0.6151291022290926	0.006867083188513904	0.9997238785431705	0	2	0.8281717616967648	0.3628017164298396	17.295469859788987	0.0016934087589143218	0.3306410519230673	0.25622584348637883	0.9924618893980446	0.9999854341075632
hADV36S1	-1.728304536619673	0.6413644338640383	0.0070445505792120465	0.9997238785431705	0	2	0.48287651787757724	0.4871222532248858	0.03417471629803376	0.9998556635308768	0.9999772337619072	19.06944787236216	7.616319732291506e-4	0.4998054573754149
C1S	1.6396195425586577	0.6090439895386178	0.007099938080293618	0.9997238785431705	0	2	0.4188734920634882	0.5174996856614682	16.715041327730283	0.0021955113577001484	0.342356605774265	0.19946989773382387	0.9953451140474814	0.9999854341075632
IDO1	-1.6653873952861558	0.6200416097692045	0.0072328577216746156	0.9997238785431705	0.006668131031930846	2	1.0084071173435427	0.3152847470176786	0.28082840395993003	0.9910179116529718	0.9954983757746213	17.50417647364504	0.001542105179137175	0.6474781723875523
TSC2	1.6281767455018055	0.610874365497856	0.007691468990285303	0.9997238785431705	0	2	0.8849319915082052	0.34685439550284414	17.014122087991474	0.0019207755279543818	0.3306410519230673	0.27961703399190235	0.9910916800719223	0.9999854341075632
IL21R.AS1	-1.617588647747254	0.6080980524298417	0.007812240586976895	0.9997238785431705	0	2	5.46866641052557e-4	0.9813430264653201	0.09779283843473922	0.9988428329513767	0.9999772337619072	16.417749225485302	0.0025069034772937544	0.6474781723875523
CLCN4	1.6062681028322856	0.6038530857634763	0.007813339238143412	0.9997238785431705	0	2	0.20614733576654184	0.6498039887666223	16.253472499643227	0.0026972350276958904	0.3511025241918556	0.16836606297748266	0.9966493315726459	0.9999854341075632
LHFPL2	1.6210740607376681	0.6099846254699953	0.007870730782836122	0.9997238785431705	0	2	0.005336185726527971	0.9417669655435434	16.541805786974987	0.002371999237893408	0.3493768315679179	0.08634511119939162	0.999094458595734	0.9999854341075632
R.ASE4	1.6546940961343841	0.6227809069285611	0.007885250182030993	0.9997238785431705	0	2	0.19504046561205918	0.6587541782661472	17.530712984309986	0.0015238497415535667	0.3306410519230673	0.05252922949733807	0.9996610653101783	0.9999854341075632
NSFL1C	1.610262077588564	0.6061894797797043	0.007898746684735591	0.9997238785431705	0	2	0.010190083246578068	0.9195933727445442	16.297164398457852	0.0026452669754925082	0.3511025241918556	0.10900417487613046	0.9985676398575363	0.9999854341075632
CEP72	-1.616192184320052	0.609349549475661	0.007993988892486375	0.9997238785431705	0	2	0.896435102598147	0.34373939302471535	0.2868540322622054	0.9906469061759862	0.9952019536409688	16.908677404046777	0.0020135318814034253	0.6474781723875523
TBC1D2	1.6999999528118699	0.6487471965730885	0.00878176325346639	0.9997238785431705	0	2	0.925052533647468	0.3361518296750915	20.12360469741591	4.721072352362195e-4	0.3306410519230673	0.029543739582630263	0.999891964450355	0.9999854341075632
TRPA1	1.5690402935020502	0.5993247099969989	0.0088443257656848	0.9997238785431705	0	2	0.07564088881744195	0.783294044967932	15.857727606454995	0.003216135967475945	0.3511025241918556	0.14480998456484934	0.9975019157478394	0.9999854341075632
CCL20	-1.5658058563675104	0.5990734553809907	0.00895643337616819	0.9997238785431705	0	2	0.40227378107541434	0.5259173118977262	0.22167912247407148	0.9942928775174779	0.9977941767876151	15.995601232905905	0.0030250718221216033	0.6474781723875523
CAND1	-1.600049305112286	0.6151777253714888	0.009296476901669362	0.9997238785431705	0	2	0.18916286856833253	0.6636142698123486	0.059709511407292776	0.9995631181752199	0.9999772337619072	16.988243832362787	0.0019431419488051861	0.6474781723875523
HBEGF	1.539791653256414	0.5962470640827111	0.009809517630890732	0.9997238785431705	0	2	0.02713278292615564	0.8691641245446067	15.598832346892312	0.0036075341603975042	0.3511025241918556	0.13356798069270634	0.997866794216771	0.9999854341075632
FER	1.5333900386963997	0.5946377931731913	0.009917404954138316	0.9997238785431705	0	2	0.3603713162635839	0.5483000882594723	15.653397455854293	0.003521326008968836	0.3511025241918556	0.22507104744405257	0.9941234769686632	0.9999854341075632
PSRC1	1.5528889982694714	0.6029436235479727	0.010009157901098636	0.9997238785431705	0	2	0.034734483645336156	0.8521531299868748	16.03879977090199	0.0029675396055407538	0.3511025241918556	0.08631570415894621	0.9990950664629333	0.9999854341075632
ICA1	1.5229501792979823	0.5935957906677137	0.010298711498331272	0.9997238785431705	0	2	0.42640735959297565	0.5137570882756098	15.600832667290996	0.0036043374820961455	0.3511025241918556	0.2430041757058151	0.9931901416775205	0.9999854341075632
FAM178A	-1.576274438203357	0.6146683579574702	0.010334519963715164	0.9997238785431705	0	2	0.27539468547409696	0.5997357143962208	0.05778506148420483	0.999590564013457	0.9999772337619072	17.00534296637917	0.0019283346670588807	0.6474781723875523
CAMKV	1.5284431942220602	0.5968508440130363	0.0104417581107687	0.9997238785431705	0	2	0.7953109454364149	0.37249902798129586	15.96077500087721	0.003072251902462449	0.3511025241918556	0.3122050418144442	0.9890127370925107	0.9999854341075632
KRT33A	1.5222560118027286	0.5965123854262393	0.010712898809277824	0.9997238785431705	0	2	0.0023250180587148835	0.9615421534368712	15.573380907677382	0.0036484519461855536	0.3511025241918556	0.10735705270163022	0.9986098409506542	0.9999854341075632
CTAGE11P	1.511996979245575	0.5929489363729877	0.01077348052246669	0.9997238785431705	0	2	0.017161650284211807	0.8957733439934223	15.346498532106246	0.004033963956981502	0.3511025241918556	0.13494614974895236	0.9978235402587843	0.9999854341075632
SPRR2A	1.497040847858914	0.5898776889453878	0.011152510597548331	0.9997238785431705	0	2	0.34234648812668456	0.5584779058871527	15.29056303269711	0.004135000483086911	0.3511025241918556	0.23508306857725678	0.9936101819461719	0.9999854341075632
DCTN5	1.5205996586166883	0.5992838043703156	0.011169155007156746	0.9997238785431705	0	2	0.045867803957470414	0.8304162829204851	15.771752131662234	0.0033412409183934955	0.3511025241918556	0.08941520760083571	0.9990299083314189	0.9999854341075632
HTR1B	1.5658345672698097	0.6185477919312091	0.011358585375852718	0.9997238785431705	0	2	0.46202157069498806	0.49668070192978364	17.427021304047113	0.0015964180392347748	0.3306410519230673	0.05202110304216245	0.9996675345871007	0.9999854341075632
IKZF5	1.5362396122364772	0.6071206390035185	0.011394242790672594	0.9997238785431705	0	2	0.20211133480037002	0.6530220077085889	16.408620366353777	0.002517123970758391	0.3511025241918556	0.06803031271495188	0.9994344375980291	0.9999854341075632
TSPAN4	1.4732318988484159	0.5865686296937758	0.012018167159468015	0.9997238785431705	0	2	0.24752087814686102	0.6188261383025583	15.001502538344727	0.004698101796296394	0.3523115653884556	0.22155859107943313	0.9942988550641563	0.9999854341075632
WWTR1	1.4724041850198633	0.5889199743835654	0.012413126397445361	0.9997238785431705	0	2	0.7006726355684204	0.40255777122293257	15.330484097154635	0.004062640319468313	0.3511025241918556	0.3230848260133734	0.9882756474743762	0.9999854341075632
TTC28	-1.4912863500861029	0.5973641998801948	0.012544542837687444	0.9997238785431705	0	2	0.08937740581787826	0.7649701521626973	0.08708229502366568	0.9990791556941008	0.9999772337619072	15.637210740852666	0.0035466859944913304	0.6474781723875523
RPLP0	-1.4870256987607282	0.596060405868974	0.012604351633110307	0.9997238785431705	0	2	0.07069865889246638	0.7903222369654743	0.09087875950670685	0.9989983783475602	0.9999772337619072	15.535215712797566	0.0037106661931345752	0.6474781723875523
WHSC1L1	1.4643519289311926	0.5873342563731516	0.012659134626753539	0.9997238785431705	0	2	0.6229926181424302	0.4299373795234812	15.186992724028748	0.004328688447457678	0.3511025241918556	0.3110906368017101	0.9890870344984589	0.9999854341075632
RAB32	1.4837578595385397	0.5976013820425976	0.013033395700829127	0.9997238785431705	0	2	0.12153606039086771	0.7273744428472853	15.663907226867627	0.003504955775873389	0.3511025241918556	0.08432596381975957	0.999135735463504	0.9999854341075632
ERICH1	1.4446063563094353	0.5829420869568884	0.013207296202650922	0.9997238785431705	0	2	0.15855458207371131	0.690490779013391	14.682980399733868	0.005405986553722921	0.3523115653884556	0.20776084827935146	0.9949639301177545	0.9999854341075632
THTPA	1.485469986408292	0.6006513356250013	0.013394717568770947	0.9997238785431705	0	2	0.20611045061890176	0.6498332257012287	15.926361081117783	0.0031195846671821033	0.3511025241918556	0.07625195594457501	0.9992914166329269	0.9999854341075632
ANAPC15	1.4384390052667793	0.5823227960447561	0.013504710350414692	0.9997238785431705	0	2	0.11021539433946023	0.7398990455825971	14.609776708817826	0.005582916021381009	0.3523115653884556	0.1946579303102302	0.9955599346275159	0.9999854341075632
GSK3A	1.4626475554330467	0.5933258134070267	0.013694918682688895	0.9997238785431705	0	2	0.07988055392288118	0.7774593456509669	15.329731180851141	0.004063993455126564	0.3511025241918556	0.09419991840479613	0.9989250183535928	0.9999854341075632
CORO2A	1.4434228052482663	0.5864421431059987	0.01384261615404926	0.9997238785431705	0	2	0.8453118592779986	0.3578819821575493	15.170377048096602	0.004360580578685784	0.3511025241918556	0.36975719432402326	0.9848772375801711	0.9999854341075632
MEF2BNB	1.4437792867168802	0.5866321176779773	0.013849926138315642	0.9997238785431705	0	2	0.0032800163030054274	0.9543289812645658	14.829127269004626	0.0050690611102742755	0.3523115653884556	0.12395108032059828	0.9981570508502599	0.9999854341075632
BRAP	1.4286730455672974	0.5810866941486671	0.013947103524636273	0.9997238785431705	0	2	0.11498343910730002	0.7345403641846294	14.516661678933271	0.005816198845752709	0.3523115653884556	0.1996837220795258	0.9953354586606193	0.9999854341075632
PLEKHM2	1.4267238633866868	0.5807225051313508	0.014017747046256428	0.9997238785431705	0	2	0.2296352334049466	0.6317944293960678	14.542860180440602	0.005749613343298459	0.3523115653884556	0.23506414852086568	0.9936111705464395	0.9999854341075632
LINC00675	1.4587720935351725	0.5945417028281786	0.014143118475117199	0.9997238785431705	0	2	0.12516256248551638	0.723501354288775	15.432427316602102	0.0038834601629849945	0.3511025241918556	0.08875569034394944	0.9990439567746119	0.9999854341075632
GP6	1.4269798086727157	0.5816821517979058	0.014159351608258167	0.9997238785431705	0	2	0.46835867407639215	0.493743225804934	14.701401473790058	0.005362337592501832	0.3523115653884556	0.2954593794387261	0.9901053954549865	0.9999854341075632
PLSCR2	1.500262366825686	0.6115918120807439	0.014165253303065376	0.9997238785431705	0	2	0.524432000940526	0.4689572152989617	16.954328193210877	0.001972844298803848	0.3306410519230673	0.05983140891744643	0.9995613503372884	0.9999854341075632
MFSD2A	-1.4221606347971527	0.5803985070215566	0.014273028551240277	0.9997238785431705	0	2	0.09360903525811048	0.7596381952969835	0.19450340537867172	0.9955667546467732	0.9986138638506812	14.45086665730827	0.00598677535990053	0.6884266508152285
DHDDS	1.42177473535641	0.5804203842422222	0.014303075510371861	0.9997238785431705	0	2	0.08401312804113119	0.7719308551804897	14.44672884497039	0.00599766531277065	0.3523115653884556	0.19108839389356047	0.9957162280184011	0.9999854341075632
GPX1	1.4253082244085464	0.582674657701524	0.014439186895867297	0.9997238785431705	0	2	0.004194722642471661	0.9483597724391819	14.550555750027165	0.005730196966424151	0.3523115653884556	0.14706368249427573	0.9974254775840727	0.9999854341075632
PGAM2	1.4248510102938876	0.583160793739335	0.014552648725365432	0.9997238785431705	0	2	4.221484088549465e-4	0.9836076173027909	14.577279799735301	0.005663268899867417	0.3523115653884556	0.1401362005809833	0.9976569405484463	0.9999854341075632
